ID,Nombre,Raza,Criador,Sexo,Color,Fecha de Nacimiento,ID_Madre,ID_Padre,Nombre Madre,Nombre Padre,Abuelo Paterno,Abuela Paterna,Abuelo Materno,Abuela Materna
902-4T,TATIANA DE TOLEDO,GYR PURO,WALTER HABIB,HEMBRA,ROJO,9/13/24,1110-99,6557,ORACION DE TOLEDO,TABU DA CAL,RADAR DOS POCOES,JULIANA CAL (EVEREST),GC 219-4 EMBU,SABRINA DE TOLEDO (PODEROSO-BENFEITOR)
903-6,ARAUQUITA DE TOLEDO,GYR PURO,WALTER HABIB,HEMBRA,ROJO,9/5/16,11--3,3347,SOFIA DE TOLEDO,JERIPOT DE SANTA RITA,FIGURINO PARAISO DA CAL,IMPOTICA ALASKA 4547,GVG CELESTE 711-5 (PODEROSO),ARAUCANIA BALOTO 301-6
905-3N,NATILLA DE TOLEDO,GYR PURO,WALTER HABIB,HEMBRA,ROJO Y BLANCO,9/19/23,703-9,7660,MANTEQUILLA DE TOLEDO,NEYMAR DE BRASILIA,CA SANSAO,FIGA FIV DE BRASILIA,GC 219-4 EMBU,OREJA DE CANAAN 13-8
906-6,KATIRA DE TOLEDO,GYR PURO,WALTER HABIB,HEMBRA,ROJO,9/20/16,13--3,642-5,LA MANCHA DE TOLEDO,EL EMPEDRADO PITUFO,CA PALADINO,SEMOLA DE BRASILIA,GVG CELESTE 711-5 (PODEROSO),LA VIEJA MANCHA 707-5
906-3N,NARDA DE TOLEDO,GYR PURO,WALTER HABIB,HEMBRA,ROJO Y BLANCO,9/19/23,1110-99,7660,ESPANTO DE TOLEDO,NEYMAR DE BRASILIA,CA SANSAO,FIGA FIV DE BRASILIA,GC 219-4 EMBU,SABRINA DE TOLEDO (PODEROSO-BENFEITOR)
910-2R,RUANDA DE TOLEDO,GYR PURO,WALTER HABIB,HEMBRA,ROJO Y BLANCO,9/19/22,610-3,625-39,LA MOCHA,ANTONELO RADAR  T.E,RADAR DOS POCOES,CTELCA JABATANA GURI FIV,GVG CELESTE 711-5 (PODEROSO),GITANA DE CANAAN
1001-4D,DARCY DE TOLEDO,GYR PURO,WALTER HABIB,HEMBRA,ROJO,10/3/24,807-99,9225,LUCERO DE TOLEDO,DUKE DP,JAGUAR TE DO GAVIAO,PEROLA FIV DP (RADAR X BIBLIOTECA),GC 219-4 EMBU,CAROLINA DE CANAAN 310-3
1002-4D,DIVAGIO DE TOLEDO,GYR PURO,WALTER HABIB,MACHO,ROJO,10/10/24,803-95,9225,MATUMBA DE TOLEDO,DUKE DP,JAGUAR TE DO GAVIAO,PEROLA FIV DP (RADAR X BIBLIOTECA),GC 219-4 EMBU,PITUFFA DE CANAAN 825-5(EVEREST)
1005-3N,NIAGARA DE TOLEDO,GYR PURO,WALTER HABIB,HEMBRA,ROJO Y BLANCO,10/19/23,840-8,7660,OREJITA DE TOLEDO,NEYMAR DE BRASILIA,CA SANSAO,FIGA FIV DE BRASILIA,GC 219-4 EMBU,OREJA DE CANAAN 13-8
1101-3R,RAVELA DE TOLEDO,GYR PURO,WALTER HABIB,HEMBRA,ROJO Y BLANCO,11/18/23,906-6,625-39,KATIRA DE TOLEDO,ANTONELO RADAR  T.E,RADAR DOS POCOES,CTELCA JABATANA GURI FIV,CARTAGO 500-0,CAROLINA DE CANAAN 310-3
